                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.71287,                 3.5086,                0.99717,                0.03378,                0.88071,                0.16288,                0.14515,                 0.3831,                 3.3816,                0.77349,              0.0001125,              0.0001125,              0.0001125
                      2,                0.59307,                 2.0521,                0.90259,                0.05448,                0.89578,                0.27739,                0.24003,                0.56656,                 2.7849,                0.80411,              0.0002328,              0.0002328,              0.0002328
                      3,                0.53932,                 1.2014,                0.87918,                0.99695,                0.17827,                0.48642,                0.43255,                0.54319,                 2.2921,                0.81701,             0.00034815,             0.00034815,             0.00034815
                      4,                0.53786,                0.94089,                0.89532,                0.96159,                0.31091,                0.44199,                0.39521,                0.52373,                 1.8407,                0.83391,             0.00045854,             0.00045854,             0.00045854
                      5,                0.52382,                0.82709,                0.88696,                0.71131,                0.64727,                0.49969,                0.44287,                0.51318,                 1.3495,                0.83508,             0.00056399,             0.00056399,             0.00056399
                      6,                0.53028,                0.76642,                0.87739,                0.68197,                0.70037,                0.50274,                0.45324,                0.45193,                0.98853,                0.80295,             0.00066449,             0.00066449,             0.00066449
                      7,                0.50419,                0.73123,                0.87373,                0.68862,                0.62182,                0.49798,                 0.4479,                0.45919,                0.84066,                0.80962,             0.00076004,             0.00076004,             0.00076004
                      8,                0.49009,                 0.7192,                0.87591,                0.68907,                0.62416,                 0.5012,                0.44686,                0.45472,                0.82571,                0.80953,             0.00085063,             0.00085063,             0.00085063
                      9,                0.49569,                0.71375,                0.87321,                0.77224,                0.47214,                0.51416,                0.46107,                0.43744,                0.70415,                0.80819,             0.00093628,             0.00093628,             0.00093628
                     10,                0.48198,                0.68067,                 0.8703,                0.76814,                0.53378,                0.54406,                 0.4952,                0.43584,                0.75709,                0.81628,               0.001017,               0.001017,               0.001017
